s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
80,Kazimir Malevich,Suprematism ,suprematism,Tate,Russia,FALSE,painting,"painting, oil on canvas",88 ÃŒÃ‘ 72 cm,1915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,0,0,4,4,FALSE,0,0,5,"placement of different shapes at different angles, balance, spaces suggests movement"
81,Antoni Malinowski ,It's so green outside it is difficult to leave the window,abstraction,Camden Arts Center (Tate also),Poland,FALSE,painting,"painting, acrylic on glass",30 x 21 x 1 cm,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,3,2,0,3,1,FALSE,0,5,0,"repetitive marks in specific direction in specific areas, 2 colors, suspended in space by use of glass as support"
82,Man Ray,Cadeau ,dada,Tate,America,FALSE,sculpture,"sculpture, iron and nails",18 x 9 x 13 cm,1921,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,0,4,FALSE,0,0,5,"nails on flat iron surface - combined strange items into objects, unusable functionally, nails would tear clothes"
83,Man Ray,not titled Rayograph,surrealism,Met show,America,FALSE,photography,"photo, gelatin silver print on paper",24 x 18 cm,1922,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,5,0,0,1,3,FALSE,0,5,5,"rayograph, eerie light, placed objects, hard to tell exactly what they are"
84,Mike Mandel & Larry Sultan, [no title] ,conceptual,Tate,America,FALSE,photography,"photo, gelatin silver print on paper",19 x 24 cm,1977,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,2,0,0,4,FALSE,0,0,5,"image is hard to understand, strange, ambiguous"
85,Yves Klein,Leap into the Void ,conceptual,Tate Liverpool,France,FALSE,photography,"photo, gelatin silver print on paper",26 x 20 cm,1960,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,2,2,FALSE,0,0,5,"photomontage of performance, is this real?"
86,Piero Manzoni,Artistâ€™s Shit,conceptual,Tate,Italy,TRUE,sculpture,"sculpture, tin can, printed paper & excrement",5 x 7 x 7 cm,1961,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0,0,1,0,0,2,FALSE,0,3,5,"intimation of what's inside through title, needs title to convey uncertainty, is it what it says it is?"
87,Brice Marden,"Cold Mountain Series, Zen Study 6",minimalism,Tate,America,FALSE,print,"print, etching & aquatint on paper",53 x 69 cm,1991,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,2,0,2,5,FALSE,0,5,0,"exploratory, spare line, quality of mark made by hand, hesitancy"
88,Agnes Martin,Untitled #10,minimalism,Tate,America,FALSE,painting,"painting, acrylic paint & graphite on canvas",152 x 152 cm,1995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,5,2,1,1,1,FALSE,0,5,5,"light, small brushmarks, very diluted paint, repetition, creating subtly moving surface, nuances of tonal variation, susceptible to light conditions: surface changing"
89,Kenneth Martin,"Chance and Order Group VII, Drawing 6",constructivism,Tate,UK,TRUE,painting,"painting, crayon, graphite, watercolour on paper",34 x 23 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,1,2,4,0,FALSE,3,5,0,"use of chance to make drawing, use of overlapping, interlocking thick color lines"
90,Mary Martin,nversions,constructivism,Tate,UK,FALSE,sculpture,"sculpture, aluminium, oil paint & wood",183 x 732 x 28 cm,1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,2,2,0,5,1,TRUE,0,0,5,"96 angled reflective metal planes, huge size, in sequence of permutations, which are repeated backwards as the Â‰Ã›Ã·inversionsÂ‰Ã›Âª "
91,Gordon Matta-Clark,Bronx Floors: Threshole ,minimalism,Tate,America,FALSE,photography,"photo, 2 photos",2 photos (rhs) each 36 x 51 cm,1972,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,0,0,4,0,FALSE,0,0,5,"strange viewpoints thro buildings w/ cut out shapes give partial views, collage of photos, combination of spaces "
92,Dora Maurer,Reversible and changeable phases of movement etude 3,conceptual,"e-flux, also in Tate",Hungary,TRUE,photography,"photo, gelatin silver prints & chalk / graphite on paper",70 x 100 cmÂ‰Ã›Â¬,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,1,0,0,2,2,FALSE,0,0,5,"multiple images, w/ & w/out hands, placement of ball in relation to hands and to containing square, repetition, ball in some shots, some w/ hands and no ball, some empty, sense of movement"
93,Josiah McElheny,"Twentieth Century Modernism, Mirrored and Reflected Infinitely",conceptual,Andrea Rosen Gallery (also Tate),America,FALSE,sculpture,"sculpture, handblown mirrored glass, display structure, transparent mirror, lighting",79 x 478 x 48 cm,2006,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0,2,2,0,0,1,TRUE,0,0,5,"mirrored glass gives infinity aspect, siting of glass in relation to mirror creating illusion of deep receeding space"
94,Bruce McLean,Six Sculptures,conceptual,Tate,UK,TRUE,photography,"photo, 6 photos, gelatin silver prints on paper, & typed captions",51 x 79 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,4,0,2,2,FALSE,0,0,5,"multiple, transitory sculptures, named, e.g. 'floataway sculpture..' 'mud sculpture ..', what is it, what is the art, sculpture in landscape, image shows texture & placement in landscape"
95,David Medalla,Cloud Windows,kinetic art,Kinetic Art fair (also Tate),Philippines,FALSE,sculpture,"sculpture, wood, formica w/ bubble-generating machine",dimensions variable (installed in room),1966,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,1,5,0,0,2,FALSE,0,0,5,"bubbles moving up, dispersing, will bubbles spill out, temporary, motion. If take out the bubbly, aerated, morphing foam, the piece would loose its sense of uncertainty, the texture of the foam in relation to the plastic structure and the confines of that is paramount"
96,Julie Mehretu,Black City ,abstraction,White Cube Gallery (also Tate),America,FALSE,painting,"painting, ink & acrylic on canvas",305 x 488 cm,2007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,2,2,1,4,3,FALSE,3,5,5,"layering of lines & shapes w/ semi-see through paint to create space, lines angled as if spinning from center out, spatial depth, ambiguous"
97,Marisa Merz,Untitled (Living Sculpture) ,arte povera,Tate,Italy,FALSE,sculpture,"sculpture, aluminium",dimensions variable (installed in room),1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0,1,1,0,3,1,FALSE,0,0,5,"suspended aluminum from ceiling, hanging, is it heavy, will it fall"
98,Gustav Metzger,Liquid Crystal Environment ,,Tate,Germany,FALSE,installation,"projection, 5 control units, liquid crystals and slide, 35 mm, 5 projections","5 projections, dimensions variable, 22 min display",1965,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,2,4,3,3,0,3,FALSE,0,0,5,"22 minutes duration, movement / sense of movement; scale: heat-sensitive liquid crystals bet glass slides, inserted into projectors, slides are rotated"
99,Henri Michaux,[no title],,Tate,Belgium,FALSE,print,"print, lithograph on paper",47 x 65 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,2,1,0,5,3,FALSE,0,5,5,"complex shape/lines curving upwards / downwards, hard to tell what the marks are, suggestive of space"
100,John Everett Millais,Ophelia ,pre-raphaelite,Tate,UK,FALSE,painting,"painting, oil on canvas",76 x 112 cm,1852,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,0,3,3,FALSE,0,0,5,"figure lying in water, realistic paint handling, iconic image, uses representation to convey meaning"
101,Joan Miro,Painting ,surrealism,Tate,Spain,FALSE,painting,"painting, tempera & oil on canvas",97 x 130 cm,1927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,1,1,2,0,5,FALSE,0,5,5,"specific enigmatic shapes, outlines suspended on blue ground, surreal shapes & space, hard to fully tell what these are and how they relate"
102,Joan Mitchell,Sides of a River II,abstraction,Tate,America,FALSE,print,"print, lithograph on paper",101 x 75 cm,1981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,1,2,1,4,FALSE,0,5,0,"markmaking, agitated lines some angular, predominantly in 2 colors, black at bottom & at top suspended "
103,FranÃ§ois Morellet,Pier and Ocean,minimalism,kamelmennour.com  (also Tate),France,FALSE,installation,"installation, 38 blue argon neon tubes that turn on and off & wooden pier ",Variable dimensions - length 150 cm each tube,2014,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,1,5,0,1,2,0,FALSE,0,5,5,"lights, turn on and off, different angles, suspended in space and around room, use of specific blue color light - kinetic; if removed the light from this work and switched on the overhead lights, the mystery and strangeness of this work and the space would change"
104,Robert Morris,Untitled,minimalism,Tate,America,FALSE,sculpture,"sculpture, fibreglass & nylon threads",46 x 244 x 244 cm,1968,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,0,2,0,0,1,FALSE,0,0,5,"seemingly heavy large object suspended, unknown shape"
105,Paul Nash ,Landscape from a Dream ,surrealism,Tate,UK,FALSE,painting,"painting, oil on canvas",68 x 102 cm,1938,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,0,0,0,0,4,FALSE,0,0,5,"strange combination of odd objects, repeating images, reflection, space, iconography"
106,Bruce Nauman,Dance or Exercise on the Perimeter of a Square (Square Dance)    ,conceptual,MACBA Collection also Tate,America,FALSE,video_film,"video, 16 mm film transferred to video, b/w, sound",8 min video,1968,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,0,0,2,2,FALSE,0,5,5,"performance on perimeter of square, video of performance - repetitive movement defining space from center to corner defined only by length of stride; facing outwards, then facing inwards. Odd, inquiring, uncertain about what is going to happen and what this is about, art as process"
107,Mike Nelson,A Psychic Vacuum ,conceptual,"303 Gallery, also Tate",UK,FALSE,installation,"installation, sand","disused interior of the Essex Street Market, series of reconstructed rooms and passageways- this view is one large room installation",2007,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,4,0,4,0,0,2,FALSE,0,0,5,"converted derelict market into maze of constructed rooms, passageways, filled main space w/ huge amount of sand so that it was part way up the columns, sloping upwards as if a hill. Uncertain as to what and why and how this had come about"
108,Avis Newman,Meridians VIII ,abstraction,Tate,UK,FALSE,painting,"painting, acrylic paint & chalk on canvas",254 x 254 x 7 cm,1998,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3,5,0,2,2,FALSE,0,5,5,"in and out of focus; fuzzy, cloud-like field overlaid with sharper b&w lines scratched into surface, take away the texture out of focus dimension and the uncertainty of what this piece is and especially what the depth is would shift significantly"
109,Winifred Nicholson,Quarante Huit Quai dâ€™Auteuil ,modernism,Tate,UK,FALSE,painting,"painting, oil on board",68 x 100 cm,1935,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,3,0,0,1,4,FALSE,0,3,5,"very light in tone, few shapes, precisely placed, vary in size, hard to tell orientation or what this refers to "
110,Albert Oehlen,More Fire and Ice,conceptual,NYT also Tate,Germany,FALSE,painting,"painting, mixed media on canvas",351 x 340 cm,2001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,4,0,4,3,FALSE,0,5,5,"mixes images & abstract & spaces and lines & areas; poured, sprayed, paint applied in multiple semi-transparent layers, from all directions"
111,Chris Ofili,Afrodizzia,conceptual,Saatchi also Tate,UK,TRUE,painting,"painting, oil, paper collage, glitter, polyester resin, map pins & elephant dung on linen", 244 x 183 cm,1996,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,0,3,0,3,4,FALSE,5,5,5,"parallel curved lines around dozens of cut-out photos of Miles Davis, Diana Ross, James Brown, Cassius Clay etc, different sizes, repetition, morphing spaces, patterning. Painting leans against wall on elephant dung. Complex."
112,HÃ©lio Oiticica,Grand Nucleus (Grande NÃºcleo) ,Neo-Concrete Movement,Tate,Brazil,FALSE,installation,"installation, double-sided hanging painted wood panels, varying sizes",670 x 975 cm,1966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,0,1,2,1,FALSE,0,0,5,"suspended panels, seemingly floating, walk among them, sense of exploded space"
113,Claes Oldenburg and Coosje van Bruggen,Soft Viola ,,Whitney also in Tate,America,FALSE,sculpture,"sculpture, canvas, resin, rope, & metal painted with latex",264 ÃŒÃ‘ 152 ÃŒÃ‘ 56 cm,2002,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,4,0,4,4,FALSE,0,5,5,"gravity on soft object hung on a wall that is usually hard, floppiness of the object that in real life has different properties"
114,Jules Olitski,Sahny-7,abstraction,Mutual Art also in Tate,America,FALSE,painting,"painting, acrylic on canvas",165 x 114 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,0,4,0,0,4,FALSE,3,3,5,"splattered paint shapes on textural ground, splattering, spatial, indeterminate space"
115,Gabriel Orozco,River Rocks Eroded,conceptual,White Cube Gallery (also Tate),Mexico,FALSE,painting,"painting, acrylic on canvas",137 x 90 cm,2011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,2,2,0,4,FALSE,5,0,5,"dots over indeterminate shapes, sense of what shapes are behind 'grid' layer"
116,Alistair Park,1. 9,representation,Tate,UK,FALSE,print,"print, lithograph on paper",56 x 44 cm,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,2,0,0,4,FALSE,0,3,5,"right side is out of focus, stooped figure is moving, halfway out of frame, empty center, b & w, what is the narrative"
117,Cornelia Parker,Cold Dark Matter: An Exploded View ,conceptual,Tate,UK,FALSE,installation,"installation, wood, metal, plastic, ceramic, paper, textile & wire",400 x 500 x 500 cm,1991,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,2,0,0,2,4,FALSE,0,5,5,"parts from blown up shed suspended and lit to create shadows, what occurred? what are the elements?"
118,Oliver Payne and Nick Relph,Master Friday ,postmod,Tate,UK,FALSE,print,"print, digital print on paper",60 x 42 cm,2008,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,1,0,0,1,2,FALSE,0,3,5,"2 tone, overlayering, repetition of 2 elements in relation to each other, facing different  directions, suggests movement, probably not uncertain but interesting use of repetition & overlap which could all be used to suggest uncertainty"
119,Giuseppe Penone,Study for â€˜Breath of Clayâ€™ ,arte povera,Tate,Italy,FALSE,drawing,"drawing, coffee, graphite & ink on paper",76 x 57 cm,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,4,0,0,4,FALSE,0,0,5,"differences in transparency, thin wash of coffee & ink, sense of liquid, staining, pour, shape in the space of the paper, hard to tell what this is"
120,Roland Penrose,House the Light-house ,surrealism,Tate,UK,FALSE,painting,"painting, gouache, graphite, ink & postcards on paper",59 x 84 cm,1983,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,1,0,2,4,FALSE,0,0,5,"collage, composition of different shapes, textures, images, surreal effect"
121,Margot Perryman,Arcade ,abstraction,Tate,UK,FALSE,painting,"painting, acrylic on canvas",173 x 147 cm,1969,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,1,4,FALSE,0,0,5,"flat color planes, angle on yellow one, empty, odd, ambiguous space, seemingly simple"
122,Vong Phaophanit,Neon Rice Field,conceptual,Tate ,Laos,FALSE,installation,"installation, rice & neon tubes",1500 x 500 cm,1993,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,3,0,0,2,FALSE,0,5,5,"material is rice which creates a degree of uncertainty, with rice as neat undulating waves, neon tubes creating lines"
123,Pablo Picasso,Guernica ,cubism,Museo Reina SofÃ_a,Spain,FALSE,painting,"painting, oil on canvas",349 x 777 cm,1937,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,0,0,0,5,FALSE,0,5,5,"collage of fragments, representational w/ distortions, light on dark, ground & figures align, pain shown on faces, representational but overall hard to decipher, only small parts are shown"
124,Georges Braque,Still Life with Banderillas,cubism,Met also Tate,Spain,TRUE,painting,"painting, oil & charcoal with sand on canvas",65 x 55 cm,1911,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,3,4,0,4,4,FALSE,0,5,3,"juxtaposition of parts of still life split into planar elements, fractured objects, parallel paint marks, cut up & collaged back together"
125,John Piper,Seaton Delaval ,representation,Tate,UK,FALSE,painting,"painting, oil paint on canvas on wood",71 x 88 cm,1941,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,5,3,0,1,3,FALSE,0,5,5,"dark, outlined buildings, indeterminate space, scratching on surface, searching, querying use of line"
126,Steven Pippin,Bath Tub Converted into a Pin-Hole Camera ,,Tate,UK,FALSE,photography,"photo, 21 photographs, black & white, on paper on board",65 x 116 cm,1984,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,2,0,0,4,4,FALSE,0,5,5,"multiple sheets of light sensitive paper, made w/ bathtub converted to pinhole camera, exploring optics, inventions making cameras, magic of machines, resulting image is hard to comprehend where things are in space"
127,Sigmar Polke,Untitled (Square 2),,Tate,Germany,FALSE,painting,"painting, gold paint, oil & acrylic paint on canvas",200 x 190 x 2 cm,2003,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,2,0,2,4,FALSE,5,5,5,"combination of different images, pouring, stenciling, dynamic tension bet expressive gesture & mechanical reproduction, printed images, dots & painterly marks, overlaying, multiple orientations, unusual materials"
128,Jackson Pollock,Yellow Islands,abstract expressionism,Tate,America,FALSE,painting,"painting, oil on canvas",144 x 185 cm,1952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,0,2,0,4,4,FALSE,0,5,5,"overlapping, dripping paint, gravity & different paint thicknesses, painting on the ground from all sides, not touching the canvas, ambiguity, some hesitancy"
129,Larry Poons,Out,,Tate,America,FALSE,painting,"painting, acrylic on canvas",198 x 519 cm,1967,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,4,1,0,3,1,FALSE,3,3,5,"marks close to being line & almost dots, repeated in indeterminate space, partly see-through, spatial depth in use of fading out paint, repeated marks"
130,Nicholas Pope,Liar Liar ,,Tate,Australia,FALSE,sculpture,"sculpture, 15 unglazed ceramic forms",dimensions variable,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,1,0,0,5,FALSE,0,0,5,"repeated volumes, weird, are these abstract or are they repeated mute 'figures'"
131,Liliana Porter ,Wrinkle ,,Tate,Argentina,FALSE,print,"print, one of 10 photo-etchings on paper",22 x 29 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,4,0,0,4,FALSE,5,3,5,"emptiness, hyperreal scrunched material, pixelated/dotted empty ground"
132,Douglas Portway,White Screen ,,Tate,South Africa,FALSE,painting,"painting, oil on canvas",102 x 127 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,2,2,0,1,4,FALSE,0,3,5,"suggested space created w/ lighter geometric shape, lines, different space of shadow & ground, uneasy space"
133,R.H. Quaytman,Chapter 12: iamb,conceptual,File Magazine also Tate,America,FALSE,painting,"painting, silkscreen, gesso on wood",51 x 82 cm,2008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,4,3,0,0,3,0,FALSE,0,5,5,"repeated parallel lines vertical & horizontal, dots where they cross, subtly uneven background, grid, spatial ambiguity, optical illusion"
134,Ged Quinn,Cross in the Wilderness ,surrealism,Tate,UK,FALSE,painting,"painting, oil on canvas",267 x 183 x 3 cm,2004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,4,0,0,0,3,FALSE,0,3,5,"relative size of objects out of balance, different scales/sizes, surrealist, dark tones, strange combinations"
135,Fiona Rae,Untitled (emergency room),abstraction,Tate,UK,FALSE,painting,"painting, oil & acrylic on canvas",213 x 198 x 4 cm,1996,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,0,4,0,4,1,FALSE,3,3,5,"overlayering of patterns, smudging, interdeterminate space, different sizes, mix of shapes & sqiggley ground partly overlapping"
136,Arnulf Rainer,Untitled (Death Mask),abstraction,Tate,Austria,FALSE,drawing,"drawing, oil pastel & photograph on paper",59 x 43 cm,1978,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,3,0,4,4,FALSE,0,5,0,"curved overlayered lines drawn over photo, lack of definite edges, multiple looping lines to define an edge, unclear where the edge is"
137,Robert Rauschenberg,Water Stop ,,Tate,America,TRUE,print,"print, lithograph on paper",138 x 81 cm,1968,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,3,3,0,4,4,FALSE,0,0,5,"combination of different images, different ways up, some overlaying, not defined edges, range of values"
138,Isabel Rawsthorne,View through a Window II ,,Tate,UK,FALSE,painting,"painting, oil on canvas",94 x 175 cm,1967,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,4,0,1,4,FALSE,0,5,5,"smudged, smeared paint, can't entirely work out the space & what this is"
139,Charles Ray,Plank Piece I-II ,,Tate,America,FALSE,photography,"photo, 2 photographs, black & white, on paper on board",Each (x 2) 109 x 56 x 5 cm,1973,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,3,3,FALSE,0,3,5,"performer pinned by plank, suspended on wall, balancing"
140,Judit Reigl,Center of Dominance,, judit-reigl.com also Tate,Hungary,FALSE,painting,"painting, oil on canvas",190 x 220 cm,1958,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,3,1,4,0,4,3,FALSE,0,5,5,"thick textural lines, swirl in space, empty space, indeterminate depth, sense of circular movement, different length lines"
141,Ad Reinhardt,Abstract Painting No. 5 ,abstract expressionism,Tate,America,FALSE,painting,"painting, oil on canvas",152 x 152 cm,1962,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,5,2,0,0,3,FALSE,0,0,5,"is this all black or are there any shapes or layers underneath? way dark color is painted, sense of depth. display caption says ""underlying grid of different coloured squares divided by a green central horizontal band"""
142,RosÃ¢ngela RennÃ_,Experiencing Cinema,,Tate,Brazil,FALSE,installation,"installation, video, projection, color & smoke machine",Each DVD (x 4) 21 min  ,2005,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,4,4,0,0,3,FALSE,0,0,5,"image ephemeral, projects image onto smoke so they appear & disappear"
143,Gerhard Richter,"Self Portrait Standing, Three Times, 17.3.1991",,Tate,Germany,FALSE,painting,"painting, 6 photographs, gelatin silver print on paper with oil paint",Each (x 6) 50 x 56 cm,1991,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,3,0,0,4,FALSE,0,0,5,"repetition of 6 photos w/ different amounts of paint across, partly seeing-through - seriality & increasing cover of paint, try to see the studio/artist but hard to tell - covering up"
144,Gerhard Richter,Abstract Painting (726),,Tate,Germany,FALSE,painting,"painting, oil on canvas",251 x 351 x 4 cm,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1,5,0,0,3,FALSE,0,5,5,"smeared paint across canvas, spatial effects, illusive, depth, complex, what is this"
145,Bridget Riley,Fall ,op art,Tate,UK,FALSE,painting,"painting, polyvinyl acetate paint on hardboard",141 x 140 cm,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,3,0,0,4,4,FALSE,0,5,0,"parallel curved lines to create undulations, field of varying optical frequencies"
146,Jean-Paul Riopelle,Suite Montmorency,abstraction,levadrouilleururbain also Tate,Canada,FALSE,print,"print, lithograph",117 x 158 cm,1972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,3,1,2,0,3,3,FALSE,3,5,5,"repeated dots and lines and marks, layered, different orientations & sections & unclear space & unclear what is below the marks"
147,Rita Donagh,Long Meadow,,Tate,UK,TRUE,painting,"painting, oil on canvas",152 x 152 cm,1982,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,4,0,4,4,FALSE,0,5,5,"thin semi-transparent washes of paint, outlines of letters, upper layer of space w/ depth going down & back, lightly drawn multiple layers, H block prison blocks, weight of 'H's floating on atmosphere"
148,Franz Roh,Masks Survive ,collage,Tate,Germany,FALSE,print,"print, lineblock prints & halftone prints on paper mounted onto paper",32 x 23 cm,c.1938,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,1,0,0,5,FALSE,0,0,5,"collage of photo & illustration fragments in empty setting, partly representational, tribal mask & gas mask, magic realism, representational but what are the elements / combinations & what do they mean?"
149,James Rosenquist,Sunglasses - Landing Net - Triangle,pop art,Tate,America,FALSE,print,"print, etching, drypoint & aquatint on paper",45 x 90 cm,1974,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,1,4,0,2,4,FALSE,0,5,5,"3 items in line differently handled w/ rotating textural lines around central shape, uses both line and area, hard to tell what this is"
150,Leonard Rosoman,Bomb Falling into Water ,representation,Tate,UK,FALSE,painting,"painting, oil on canvas",64 x 76 cm,1942,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,4,3,0,2,3,FALSE,5,3,5,"energetic paint handling, composition divided by light areas, layers creating space, hard to tell what this is"
151,Dieter Roth,Self-Portrait as a Flower Pot,,Tate,Germany,FALSE,print,"print, lithograph on paper",76 x 99 cm,1971,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,4,2,1,3,4,FALSE,0,5,0,"overlapping light lines to create shape, empty space, searching line, no edges, very light, ethereal"
152,Dieter Roth,Untitled,,Hauser & Wirth Gallery (also Tate),Germany,TRUE,sculpture,"sculpture, toys, sweets, trinkets, printed matter, painting utensils, adhesive tape, tools, refuse, strips of wood & metal, glue on corrugated cardboard. Sour milk, fruit juice, cocoa, dead insects in plastic tubes, in wooden frame with openings for pouring in liquids",220 x 230 x 25 cm,1974,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,4,0,1,3,FALSE,0,5,5,"assemblage of objects & refuse w/ glue & sour milk etc in plastic tubes, w/ openings for pouring in liquids, wide unconventional use of materials often decomposing eg chocolate, dirt, glue, food: rotting. What is this?"
153,Mark Rothko,Untitled ,abstract expressionism,MoMA also Tate,America,FALSE,painting,"painting, watercolor & gouache on paper",55 x 76 cm,1945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,2,0,0,4,FALSE,3,5,5,"painted lines & shapes semi-abstract, surreal, probably scratching into surface, searching line, suggested deep space in his work in general, murky edges of shapes"
154,Felix Rozen,[no title] ,,Tate,Russia / France,TRUE,print,"print, screenprint on paper",34 x 60 cm,1981,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,0,0,3,4,FALSE,5,5,0,"notation & seriality along thin strips, repetition & different lines, sense of movement, related to language & alphabets & music composition, multiple lines of notations"
155,Sterling Ruby,(Mapping) Maybelline Â® Wet Shine Cherry Rain,,Foxy Production (also Tate),America,FALSE,painting,"painting, nail polish & sharpie pen on card",81 x 102 cm,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,3,0,3,4,FALSE,3,5,0,"combination of poured lines & geometric thin lines w/ splattered points, empty space, gooey materials, dripping, 2 kinds of drawing space in nail polish"
